steps_completed,visit_count,percentage,step_label
1,10910,15.76,1 steps
2,8222,11.88,2 steps
3,4586,6.63,3 steps
4,5002,7.23,4 steps
5,22029,31.83,5 steps
6,5395,7.8,6 steps
7,5072,7.33,7 steps
8,2382,3.44,8 steps
9,2022,2.92,9 steps
10,1127,1.63,10 steps
11,801,1.16,11 steps
12,518,0.75,12 steps
13,323,0.47,13 steps
14,229,0.33,14 steps
15,166,0.24,15 steps
16,114,0.16,16 steps
17,79,0.11,17 steps
18,42,0.06,18 steps
19,46,0.07,19 steps
20,30,0.04,20 steps
21,21,0.03,21 steps
22,16,0.02,22 steps
23,8,0.01,23 steps
24,11,0.02,24 steps
25,3,0.0,25 steps
26,5,0.01,26 steps
27,4,0.01,27 steps
28,7,0.01,28 steps
29,4,0.01,29 steps
30,2,0.0,30 steps
32,2,0.0,32 steps
33,2,0.0,33 steps
34,1,0.0,34 steps
36,2,0.0,36 steps
37,1,0.0,37 steps
39,1,0.0,39 steps
40,6,0.01,40 steps
42,1,0.0,42 steps
48,4,0.01,48 steps
50,1,0.0,50 steps
56,2,0.0,56 steps
61,1,0.0,61 steps
72,2,0.0,72 steps
80,2,0.0,80 steps
88,1,0.0,88 steps
